Option Contract:		Aug 2026 Option Expiration:	8/27/2026 (0.55 DTE) Option Symbol:		G4RQ6 Underlying Future:	Oct 2026 Underlying Symbol:	GCV6 - G4RQ6 Open Interest - Put: 1,169 Call: 2,431 Vol: 27.97 Vol Chg: 0.00 Future Chg: 25.8 FutPrc: 4643.3
Strike,Call,Put,Vol Settle
4495,0,7,0.3320369411721913
4500,59,83,0.3276095318224179
4505,33,4,0.323344263432773
4510,0,4,0.3192465782758518
4515,0,0,0.31532166201941436
4520,1,5,0.3115744438055117
4525,23,22,0.3080095961713596
4530,0,1,0.30463153510754637
4535,0,13,0.301444420032567
4540,0,5,0.29845215379737056
4545,0,4,0.29565838269081723
4550,25,68,0.29306649641330296
4555,0,7,0.2906796281286006
4560,0,2,0.2885006544111093
4565,0,1,0.28653219527041074
4570,0,0,0.28477661414763134
4575,29,13,0.2832360179290845
4580,34,18,0.28191225692899025
4585,0,2,0.28080692486855696
4590,0,8,0.27992135894237435
4595,0,4,0.2792566397529299
4600,182,30,0.27881359133789374
4605,0,1,0.2785927811628426
4610,0,1,0.27859452014035924
4615,1,4,0.2788188626027477
4620,1,10,0.2792656063211325
4625,17,32,0.2799342925045494
4630,10,10,0.28082420576629374
4635,5,63,0.28193437418030953
4640,2,0,0.28326356926027074
4645,2,16,0.28481030592502066
4650,68,46,0.2865728425367706
4655,65,40,0.2885491808938241
4660,93,17,0.29073706622057216
4665,132,8,0.2931339871893215
4670,4,6,0.295737175877548
4675,84,9,0.2985436078197381
4680,6,0,0.3015500019737374
4685,22,2,0.30475282072802656
4690,29,0,0.3081482698999025
4695,3,1,0.3117322987491207
4700,250,30,0.3155005999706191
4705,4,0,0.31944860966723354
4710,4,1,0.3235715074115433
4715,4,3,0.32786421617129236
4720,26,0,0.33232140236759733
4725,30,0,0.3369374758513004
4730,4,0,0.3417065899084264
4735,4,0,0.3466226412474498
4740,9,0,0.3516792700102087
4745,10,1,0.35686985979555175
4750,56,0,0.36218753759203537
4755,66,0,0.3676251738470455
4760,4,0,0.3731753824486077
4765,0,0,0.3788305206981022
4770,1,0,0.38458268934846274
4775,34,0,0.39042373254778795
4780,3,0,0.39634523791573883
4785,59,0,0.402338536503521
4790,56,0,0.408394702759324
4795,22,0,0.41450455459198565
