Option Contract:		Aug 2026 Option Expiration:	8/27/2026 (1.55 DTE) Option Symbol:		G4RQ6 Underlying Future:	Oct 2026 Underlying Symbol:	GCV6 - G4RQ6 Intraday Volume - Put: 17 Call: 100 Vol: 24.84 Vol Chg: 0.00 Future Chg: 6.1 FutPrc: 4664.3
Strike,Call,Put,Vol Settle
4445,0,0,0
4450,0,0,0.3278750819617926
4455,0,0,0.3240228098102307
4460,0,0,0.32025099727729867
4465,0,0,0.31656127604651374
4470,0,0,0.31295522625168815
4475,0,2,0.3094343764739733
4480,0,0,0.3060002037441336
4485,0,0,0.30265413354163684
4490,0,0,0.2993975397955637
4495,0,0,0.29623174488256154
4500,0,3,0.2931580196311643
4505,0,0,0.2901775833154261
4510,0,0,0.2872916036631068
4515,0,0,0.2845011968440758
4520,0,0,0.28180742748259036
4525,0,0,0.2792113086520658
4530,0,1,0.2767138018739388
4535,0,0,0.2743158171151663
4540,0,0,0.2720182127989119
4545,0,0,0.2698217957893121
4550,0,2,0.26772732140580047
4555,0,0,0.265735493415832
4560,0,1,0.2638469640326093
4565,0,0,0.2620623339216763
4570,0,0,0.2603821521959162
4575,0,0,0.2588069164166882
4580,0,1,0.25733707259632865
4585,0,0,0.2559730151997428
4590,0,0,0.25471508712666946
4595,0,0,0.25356357974487764
4600,2,0,0.25251873285515103
4605,0,1,0.251580734719937
4610,0,0,0.25074972204038204
4615,0,0,0.2500257799756582
4620,0,2,0.24940894212409148
4625,0,1,0.24889919054294296
4630,0,0,0.2484964557334024
4635,0,0,0.24820061664536297
4640,0,0,0.24801150067787603
4645,0,0,0.24792888368256172
4650,0,1,0.24795248995496877
4655,0,0,0.24808199224435157
4660,0,0,0.2483170117463942
4665,0,0,0.24865711810343782
4670,2,0,0.24910182941425774
4675,0,2,0.2496506122190567
4680,0,0,0.25030288150946944
4685,40,0,0.25105800072947204
4690,0,0,0.2519152817676513
4695,0,0,0.2528739849624344
4700,17,0,0.2539333191048172
4705,0,0,0.25509244143268006
4710,0,0,0.25635045763033304
4715,0,0,0.257706421832836
4720,10,0,0.2591593366271354
4725,6,0,0.2607081530443338
4730,0,0,0.26235177057060355
4735,0,0,0.2640890371342266
4740,0,0,0.2659187491187822
4745,0,0,0.26783965135177823
4750,8,0,0.26985043711169965
4755,0,0,0.271949748131874
4760,0,0,0.2741361745834183
4765,0,0,0.27640825509433853
4770,0,0,0.278764476737706
4775,0,0,0.2812032750405251
4780,0,0,0.28372303397395626
4785,10,0,0.28632208596195596
4790,0,0,0.2889987118737736
4795,0,0,0.291751141031682
4800,2,0,0.2945775512041564
4805,0,0,0.2974760686090576
4810,0,0,0.3004447679131772
4815,0,0,0.3034816722326923
4820,0,0,0.30658475313589406
4825,0,0,0.30975193063545703
4830,0,0,0.3129810731948055
4835,0,0,0.316269997726522
4840,0,0,0.31961646959234713
4845,0,0,0.32301820260272507
4850,0,0,0.32647285901748546
4855,0,0,0.3299780495444793
4860,0,0,0.33353133334389895
4865,0,0,0.3371302180200928
4870,0,0,0.3407721596306601
4875,0,0,0.3444545626796298
4880,0,0,0.3481747801199617
4885,0,0,0.35193011335650226
4890,0,0,0.3557178122421192
4895,0,0,0.35953507507520044
